Rank,NOC,Gold,Silver,Bronze,Total,Year,Total_Athletes_in_Team,Gold_Winning_Athletes,Silver_Winning_Athletes,Bronze_Winning_Athletes,Athletes_Who_Returned,Multi_Event_Athletes,Average Team Rating
44,TPE,1,1,2,4,2008,79.0,0.0,0.0,4.0,49.0,16.0,4.488583599001051
44,FIN,1,1,2,4,2008,57.0,1.0,2.0,2.0,29.0,17.0,4.766755104794691
46,LVA,1,1,1,3,2008,,,,,,,
47,DOM,1,1,0,2,2008,24.0,1.0,1.0,0.0,13.0,10.0,4.988934368153767
47,EST,1,1,0,2,2008,47.0,1.0,2.0,0.0,32.0,19.0,5.5849936298153455
47,PRT,1,1,0,2,2008,,,,,,,
47,TTO,1,1,0,2,2008,28.0,2.0,1.0,0.0,17.0,12.0,6.414344187626271
51,IND,1,0,2,3,2008,53.0,1.0,0.0,2.0,30.0,18.0,5.1265102070433475
53,CMR,1,0,0,1,2008,32.0,1.0,0.0,0.0,9.0,3.0,3.238010287022877
53,PAN,1,0,0,1,2008,5.0,1.0,0.0,0.0,3.0,0.0,5.065687204586901
53,TUN,1,0,0,1,2008,26.0,0.0,0.0,0.0,14.0,4.0,5.136535976679026
56,SWE,0,4,1,5,2008,123.0,0.0,3.0,2.0,84.0,51.0,5.765822834489155
57,LTU,0,3,2,5,2008,71.0,0.0,2.0,3.0,48.0,16.0,5.513231912802645
57,NGA,0,3,2,5,2008,,,,,,,
59,HRV,0,2,3,5,2008,,,,,,,
60,COL,0,2,1,3,2008,67.0,0.0,1.0,1.0,45.0,22.0,4.983206544539353
60,GRC,0,2,1,3,2008,,,,,,,
62,ARM,0,1,4,5,2008,24.0,0.0,0.0,5.0,13.0,7.0,5.084875413695184
63,UZB,0,1,3,4,2008,56.0,1.0,2.0,2.0,41.0,25.0,5.427522004914537
64,AUT,0,1,2,3,2008,70.0,0.0,1.0,2.0,56.0,30.0,6.249873823840982
64,IRL,0,1,2,3,2008,55.0,0.0,1.0,2.0,31.0,16.0,4.730765736515039
64,KGZ,0,1,2,3,2008,20.0,0.0,1.0,1.0,12.0,6.0,4.374911676688687
64,SRB,0,1,2,3,2008,87.0,0.0,0.0,14.0,60.0,21.0,6.59015733512089
68,DZA,0,1,1,2,2008,,,,,,,
68,BHS,0,1,1,2,2008,,,,,,,
68,MAR,0,1,1,2,2008,47.0,0.0,1.0,1.0,29.0,9.0,4.409205497222641
68,TJK,0,1,1,2,2008,15.0,0.0,1.0,1.0,8.0,4.0,4.912181531720631
72,CHL,0,1,0,1,2008,,,,,,,
72,ECU,0,1,0,1,2008,25.0,0.0,1.0,0.0,13.0,9.0,4.51306678226833
72,ISL,0,1,0,1,2008,27.0,0.0,14.0,0.0,22.0,5.0,6.310788773391089
72,MYS,0,1,0,1,2008,,,,,,,
72,WSM,0,1,0,1,2008,,,,,,,
72,SGP,0,1,0,1,2008,25.0,0.0,0.0,0.0,14.0,13.0,4.789376993427616
72,ZAF,0,1,0,1,2008,,,,,,,
72,SDN,0,1,0,1,2008,,,,,,,
81,EGY,0,0,2,2,2008,100.0,0.0,0.0,1.0,54.0,27.0,4.1907048692491635
82,AFG,0,0,1,1,2008,4.0,0.0,0.0,1.0,4.0,2.0,6.332109005733626
82,ISR,0,0,1,1,2008,43.0,0.0,0.0,1.0,25.0,13.0,4.712267167057582
82,MUS,0,0,1,1,2008,,,,,,,
82,MDA,0,0,1,1,2008,29.0,0.0,0.0,1.0,20.0,7.0,5.240366073710588
82,TGO,0,0,1,1,2008,,,,,,,
1,USA,48,26,30,104,2012,529.0,95.0,39.0,33.0,343.0,191.0,7.4083172557199735
2,CHN,39,31,22,92,2012,365.0,34.0,30.0,22.0,230.0,120.0,6.119198740285547
3,GBR,29,18,18,65,2012,530.0,35.0,19.0,41.0,267.0,194.0,5.448003220027421
6,DEU,11,20,13,44,2012,,,,,,,
7,FRA,11,11,13,35,2012,324.0,25.0,23.0,13.0,205.0,132.0,6.118906682308252
8,AUS,8,15,12,35,2012,405.0,14.0,22.0,50.0,271.0,163.0,6.390384307469895
9,ITA,8,9,11,28,2012,281.0,6.0,22.0,26.0,207.0,120.0,6.858589760982264
10,HUN,8,4,6,18,2012,151.0,8.0,7.0,5.0,114.0,51.0,6.923004186882761
11,JPN,7,14,17,38,2012,291.0,7.0,29.0,22.0,161.0,115.0,5.61799112036348
13,NLD,6,6,8,20,2012,,,,,,,
14,NZL,6,2,5,13,2012,178.0,9.0,3.0,10.0,114.0,66.0,5.588296405468696
15,UKR,5,4,10,19,2012,230.0,9.0,4.0,6.0,152.0,87.0,5.346001911560089
16,CUB,5,3,7,15,2012,109.0,5.0,3.0,6.0,68.0,27.0,5.175535300766433
17,ESP,4,10,6,20,2012,278.0,5.0,31.0,23.0,185.0,68.0,5.822724174010124
18,JAM,4,5,4,13,2012,45.0,5.0,3.0,5.0,33.0,20.0,8.033463546668116
20,ZAF,4,1,1,6,2012,,,,,,,
21,PRK,4,0,2,6,2012,51.0,4.0,0.0,2.0,18.0,9.0,3.702195639715917
22,BRA,3,5,9,17,2012,246.0,14.0,32.0,11.0,193.0,92.0,6.8703148709659745
23,KAZ,3,2,6,11,2012,113.0,7.0,1.0,5.0,58.0,30.0,4.503285889837913
23,POL,3,2,6,11,2012,210.0,2.0,2.0,8.0,150.0,84.0,5.548133605023749
25,ETH,3,2,3,8,2012,33.0,2.0,1.0,3.0,20.0,6.0,5.582024467864353
26,HRV,3,1,2,6,2012,,,,,,,
27,CAN,2,6,10,18,2012,272.0,1.0,20.0,28.0,169.0,112.0,5.42631266400435
28,BLR,2,5,3,10,2012,160.0,2.0,11.0,6.0,92.0,44.0,5.310336870717519
29,KEN,2,4,7,13,2012,47.0,2.0,3.0,4.0,26.0,12.0,5.340037768858532
30,DNK,2,4,3,9,2012,,,,,,,
31,ROU,2,4,1,7,2012,105.0,1.0,4.0,4.0,52.0,39.0,5.153404731939055
32,AZE,2,2,5,9,2012,52.0,2.0,2.0,6.0,35.0,16.0,5.225096941794181
33,CHE,2,2,0,4,2012,,,,,,,
34,NOR,2,1,1,4,2012,61.0,15.0,1.0,1.0,45.0,21.0,7.020997168801517
35,LTU,2,0,3,5,2012,62.0,1.0,1.0,2.0,43.0,16.0,5.5707703862759175
36,TUN,2,0,1,3,2012,83.0,0.0,1.0,1.0,39.0,13.0,3.9393624482548733
37,SWE,1,4,3,8,2012,133.0,2.0,17.0,3.0,91.0,55.0,5.955558436014676
38,COL,1,3,5,9,2012,101.0,1.0,3.0,4.0,61.0,23.0,4.559574441572368
39,MEX,1,3,4,8,2012,99.0,16.0,2.0,3.0,50.0,27.0,4.6516870565536275
40,GEO,1,2,3,6,2012,34.0,1.0,3.0,3.0,16.0,6.0,5.214678004721811
41,IRL,1,1,4,6,2012,64.0,1.0,1.0,3.0,36.0,24.0,4.785059646378252
42,ARG,1,1,2,4,2012,137.0,1.0,15.0,3.0,95.0,33.0,5.966552613232747
42,SRB,1,1,2,4,2012,116.0,1.0,0.0,14.0,71.0,31.0,5.518264274589179
42,SVN,1,1,2,4,2012,,,,,,,
42,TTO,1,1,2,4,2012,25.0,1.0,2.0,3.0,21.0,15.0,7.920892719899518
46,TUR,1,1,1,3,2012,112.0,2.0,2.0,1.0,51.0,21.0,3.9884063217932577
47,DOM,1,1,0,2,2012,33.0,1.0,1.0,0.0,15.0,9.0,4.1865183508982655
48,TPE,1,0,1,2,2012,44.0,0.0,1.0,1.0,29.0,17.0,4.97149054169169
48,LVA,1,0,1,2,2012,,,,,,,
50,DZA,1,0,0,1,2012,,,,,,,
50,BHS,1,0,0,1,2012,,,,,,,
50,BHR,1,0,0,1,2012,,,,,,,
50,GRD,1,0,0,1,2012,,,,,,,
50,UGA,1,0,0,1,2012,15.0,1.0,0.0,0.0,8.0,4.0,3.991147494523013
56,EGY,0,3,1,4,2012,109.0,0.0,2.0,0.0,51.0,35.0,4.140428240613147
57,IND,0,2,4,6,2012,81.0,0.0,1.0,4.0,41.0,24.0,4.633597162444809
58,MNG,0,2,3,5,2012,,,,,,,
59,THA,0,2,2,4,2012,37.0,0.0,2.0,1.0,22.0,14.0,5.227490481391888
60,BGR,0,2,1,3,2012,,,,,,,
60,FIN,0,2,1,3,2012,56.0,0.0,1.0,4.0,37.0,15.0,4.975228504504992
60,IDN,0,2,1,3,2012,,,,,,,
63,SVK,0,1,3,4,2012,47.0,0.0,1.0,4.0,35.0,23.0,6.515825901451237
64,BEL,0,1,2,3,2012,111.0,0.0,1.0,2.0,60.0,39.0,4.791866274609231
65,ARM,0,1,1,2,2012,24.0,0.0,1.0,2.0,14.0,7.0,5.1808164592366035
65,EST,0,1,1,2,2012,32.0,0.0,1.0,1.0,23.0,12.0,5.972330084953307
65,MYS,0,1,1,2,2012,,,,,,,
65,PRI,0,1,1,2,2012,,,,,,,
65,QAT,0,1,1,2,2012,12.0,0.0,0.0,2.0,4.0,3.0,4.797052277070929
70,BWA,0,1,0,1,2012,,,,,,,
70,CYP,0,1,0,1,2012,13.0,0.0,1.0,0.0,9.0,4.0,6.1992675580608925
70,GAB,0,1,0,1,2012,21.0,0.0,1.0,0.0,3.0,0.0,3.0701134573253945
70,GTM,0,1,0,1,2012,,,,,,,
70,MNE,0,1,0,1,2012,33.0,0.0,14.0,0.0,28.0,2.0,6.279777526347398
70,PRT,0,1,0,1,2012,,,,,,,
76,UZB,0,0,3,3,2012,53.0,1.0,0.0,2.0,33.0,17.0,5.343735215816371
77,GRC,0,0,2,2,2012,,,,,,,
77,SGP,0,0,2,2,2012,23.0,0.0,0.0,2.0,14.0,13.0,5.205844558073495
79,AFG,0,0,1,1,2012,6.0,0.0,0.0,1.0,3.0,2.0,4.605170185988092
79,CMR,0,0,1,1,2012,32.0,0.0,0.0,0.0,6.0,1.0,2.8062755820864935
79,HKG,0,0,1,1,2012,41.0,0.0,0.0,0.0,18.0,16.0,3.9874034537213965
79,KWT,0,0,1,1,2012,,,,,,,
79,MAR,0,0,1,1,2012,63.0,0.0,0.0,1.0,23.0,7.0,3.3625052151659083
79,SAU,0,0,1,1,2012,,,,,,,
79,TJK,0,0,1,1,2012,16.0,0.0,0.0,1.0,7.0,4.0,4.74908175430022
1,USA,46,37,38,121,2016,555.0,88.0,31.0,51.0,286.0,240.0,6.451387062352687
2,GBR,27,23,17,67,2016,360.0,56.0,38.0,15.0,218.0,176.0,6.287336517814298
3,CHN,26,18,26,70,2016,390.0,36.0,24.0,30.0,133.0,102.0,4.746867730172341
5,DEU,17,10,15,42,2016,,,,,,,
6,JPN,12,8,21,41,2016,335.0,14.0,6.0,25.0,175.0,159.0,4.9900799328766485
7,FRA,10,18,14,42,2016,392.0,9.0,49.0,17.0,177.0,150.0,4.9164890888673884
9,ITA,8,12,8,28,2016,309.0,7.0,36.0,23.0,197.0,162.0,5.79744725679407
10,AUS,8,11,10,29,2016,420.0,20.0,21.0,8.0,246.0,202.0,5.422039659455027
11,NLD,8,7,4,19,2016,,,,,,,
12,HUN,8,3,4,15,2016,153.0,6.0,2.0,3.0,86.0,55.0,5.62854133842989
13,BRA,7,6,6,19,2016,458.0,36.0,4.0,5.0,192.0,142.0,4.575005315774196
14,ESP,7,4,6,17,2016,306.0,6.0,19.0,16.0,139.0,69.0,4.7932898831281285
15,KEN,6,6,1,13,2016,79.0,6.0,5.0,1.0,21.0,12.0,3.96394395755937
16,JAM,6,3,2,11,2016,56.0,6.0,6.0,2.0,27.0,29.0,6.455461778572593
17,HRV,5,3,2,10,2016,,,,,,,
18,CUB,5,2,4,11,2016,117.0,5.0,2.0,4.0,43.0,31.0,4.172205467647331
19,NZL,4,9,5,18,2016,195.0,6.0,23.0,4.0,114.0,97.0,5.408122936365503
20,CAN,4,3,15,22,2016,309.0,4.0,2.0,47.0,171.0,155.0,5.015015429077646
21,UZB,4,2,7,13,2016,70.0,4.0,2.0,7.0,31.0,23.0,4.7367464770163235
22,COL,3,2,3,8,2016,143.0,3.0,2.0,3.0,52.0,20.0,3.7517645221511375
23,CHE,3,2,2,7,2016,,,,,,,
25,GRC,3,1,2,6,2016,,,,,,,
26,ARG,3,1,0,4,2016,215.0,21.0,1.0,0.0,88.0,43.0,4.273169544672671
27,DNK,2,6,7,15,2016,,,,,,,
28,SWE,2,6,3,11,2016,150.0,1.0,22.0,2.0,81.0,56.0,5.096388339160155
29,ZAF,2,6,2,10,2016,,,,,,,
30,KAZ,2,5,10,17,2016,101.0,2.0,5.0,10.0,41.0,35.0,4.126414869622993
