Name,NOC,Year,Number of Sports Athlete Plays,Number of Events Athlete Competes In,Number of Games Athlete Competed In,Won_Gold_True,Won_Silver_True,Won_Bronze_True,Athlete's Gold Medals,Athlete's Silver Medals,Athlete's Bronze Medals,Male_True
Mara Abalo,ARG,2012,1,1,1,0,0,0,0,0,0,0
Giorgos Abalof,GRE,2004,1,1,1,0,0,0,0,0,0,1
Jouan Etong,CMR,2000,1,1,1,1,0,0,1,0,0,1
Georgios Abaris,GRE,2004,1,1,1,0,0,0,0,0,0,1
Enrique Martnez,MEX,2000,1,1,1,0,0,0,0,0,0,1
Stephen Abas,USA,2004,1,1,1,0,1,0,0,1,0,1
Tamila Abasova,RUS,2004,1,2,1,0,1,0,0,1,0,0
Emanuele Abate,ITA,2012,1,1,1,0,0,0,0,0,0,1
Ignazio Abate,ITA,2008,1,1,1,0,0,0,0,0,0,1
Jol Abati,FRA,2004,1,1,2,0,0,0,1,0,0,1
Jol Abati,FRA,2008,1,1,2,1,0,0,1,0,0,1
Georgia Abatzidou,GRE,2004,1,1,1,0,0,0,0,0,0,0
Carlos Balladares,NCA,2004,1,1,1,0,0,0,0,0,0,1
Ilyas Abbadi,ALG,2012,1,2,2,0,0,0,0,0,0,1
Ilyas Abbadi,ALG,2016,1,2,2,0,0,0,0,0,0,1
Agostino Abbagnale,ITA,2000,1,1,1,1,0,0,1,0,0,1
Abubakar Abbas,BRN,2016,1,1,1,0,0,0,0,0,0,1
Bassim Al-ogaili,IRQ,2004,1,1,1,0,0,0,0,0,0,1
Mahmoud Abbas,EGY,2000,1,1,1,0,0,0,0,0,0,1
Mohammed Sabih,IRQ,2004,1,1,1,0,0,0,0,0,0,1
Nader Abbas,QAT,2004,1,1,1,0,0,0,0,0,0,1
Sohail Abbas,PAK,2000,1,1,3,0,0,0,0,0,0,1
Sohail Abbas,PAK,2004,1,1,3,0,0,0,0,0,0,1
Sohail Abbas,PAK,2012,1,1,3,0,0,0,0,0,0,1
Shakeel Abbasi,PAK,2004,1,1,3,0,0,0,0,0,0,1
Shakeel Abbasi,PAK,2008,1,1,3,0,0,0,0,0,0,1
Shakeel Abbasi,PAK,2012,1,1,3,0,0,0,0,0,0,1
Soulmaz Azad,IRI,2012,1,1,1,0,0,0,0,0,0,0
Ruslan Abbasov,AZE,2008,1,1,1,0,0,0,0,0,0,1
Tural Abbasov,AZE,2008,1,1,1,0,0,0,0,0,0,1
Tran Abbasova,AZE,2000,1,1,1,0,0,0,0,0,0,0
Simona Abbate,ITA,2012,1,1,1,0,0,0,0,0,0,0
Christian Abbiati,ITA,2000,1,1,1,0,0,0,0,0,0,1
Lois Abbingh,NED,2016,1,2,2,0,0,0,0,0,0,0
Alessandro Abbio,ITA,2000,1,1,1,0,0,0,0,0,0,1
Salwan Abbood,IRQ,2016,1,1,1,0,0,0,0,0,0,1
William Jr.,CAN,2000,2,2,3,0,0,0,0,0,0,1
Clare Abbott,IRL,2016,1,2,1,0,0,0,0,0,0,0
Desmond Abbott,AUS,2008,1,1,1,0,0,1,0,0,1,1
Geoffrey Abbott,RSA,2008,1,1,1,0,0,0,0,0,0,1
Kathryn Abbott,CAN,2008,1,1,1,0,0,0,0,0,0,0
Mara Abbott,USA,2016,1,1,1,0,0,0,0,0,0,0
Matt Abbott,CAN,2000,1,1,1,0,0,0,0,0,0,1
Monica Abbott,USA,2008,2,2,2,0,1,0,0,2,0,0
Khadija Abbouda,MAR,2008,1,1,1,0,0,0,0,0,0,0
Mohamed Mohamed,EGY,2000,3,6,5,0,0,0,0,0,0,1
Mohamed Mohamed,EGY,2004,3,6,5,0,0,0,0,0,0,1
Mohamed Mohamed,EGY,2012,3,6,5,0,0,0,0,0,0,1
Mahmoud El-kader,EGY,2008,1,1,1,0,0,0,0,0,0,1
Mohamed El-salam,EGY,2004,1,1,2,0,0,0,0,0,0,1
Mohamed El-salam,EGY,2008,1,1,2,0,0,0,0,0,0,1
Noha Rabo,EGY,2008,1,1,1,0,0,0,0,0,0,0
Reem El-bossaty,EGY,2008,1,2,2,0,0,0,0,0,0,0
Reem El-bossaty,EGY,2012,1,2,2,0,0,0,0,0,0,0
Ali Afringi,ERI,2008,1,1,1,0,0,0,0,0,0,1
Hossam Abdalla,EGY,2016,1,1,1,0,0,0,0,0,0,1
Nia Abdallah,USA,2004,1,1,1,0,1,0,0,1,0,0
Maha Gouda,EGY,2016,1,2,2,0,0,0,0,0,0,0
Mahmoud Aziz,EGY,2000,1,1,1,0,0,0,0,0,0,1
Mohamed Ellah,EGY,2000,1,1,1,0,0,0,0,0,0,1
Mohamed Fattah,EGY,2000,1,1,1,0,0,0,0,0,0,1
Heba Gawad,EGY,2000,1,1,2,0,0,0,0,0,0,0
Heba Gawad,EGY,2004,1,1,2,0,0,0,0,0,0,0
Sara Gawad,EGY,2000,1,1,1,0,0,0,0,0,0,0
Ragy Hady,EGY,2004,1,1,1,0,0,0,0,0,0,1
Walid Maksoud,EGY,2008,1,1,1,0,0,0,0,0,0,1
Karim Mohsen,EGY,2004,1,1,1,0,0,0,0,0,0,1
Ahmed Naeim,EGY,2008,1,1,2,0,0,0,0,0,0,1
Ahmed Naeim,EGY,2016,1,1,2,0,0,0,0,0,0,1
Yasser Sakr,EGY,2008,1,1,1,0,0,0,0,0,0,1
Samy Razek,EGY,2008,1,2,2,0,0,0,0,0,0,1
Samy Razek,EGY,2016,1,2,2,0,0,0,0,0,0,1
Ibrahim Rehim,EGY,2004,1,1,1,0,0,0,0,0,0,1
Kamal Rehim,EGY,2000,1,1,1,0,0,0,0,0,0,1
Reskalla Rehim,EGY,2000,1,1,1,0,0,0,0,0,0,1
Ahmed Samad,EGY,2000,1,1,1,0,0,0,0,0,0,1
Shaimaa Abdel-latif-hashad,EGY,2004,1,1,3,0,0,0,0,0,0,0
Shaimaa Abdel-latif-hashad,EGY,2008,1,1,3,0,0,0,0,0,0,0
Shaimaa Abdel-latif-hashad,EGY,2016,1,1,3,0,0,0,0,0,0,0
Ahmed Abdelaal,EGY,2016,1,1,1,0,0,0,0,0,0,1
Mahmoud Abdelaal,EGY,2016,1,1,1,0,0,0,0,0,0,1
Mohamed Abdelaal,EGY,2016,1,2,2,0,0,0,0,0,0,1
Mahmod Abdelaly,EGY,2008,1,1,1,0,0,0,0,0,0,1
Ibrahim Abdelbaki,EGY,2012,1,1,2,0,0,0,0,0,0,1
Ibrahim Abdelbaki,EGY,2016,1,1,2,0,0,0,0,0,0,1
Aziza Abdelfattah,EGY,2008,1,1,1,0,0,0,0,0,0,0
Abdalla El-sheikh,SUD,2008,1,1,1,0,0,0,0,0,0,1
Ragab Abdallah,EGY,2012,1,2,2,0,0,0,0,0,0,1
Ragab Abdallah,EGY,2016,1,2,2,0,0,0,0,0,0,1
Mohamed Abdellah,EGY,2004,1,1,2,0,0,0,0,0,0,1
Mohamed Abdellah,EGY,2008,1,1,2,0,0,0,0,0,0,1
Ayoub Abdellaoui,ALG,2016,1,1,1,0,0,0,0,0,0,1
Leila Abdelmoez,EGY,2016,1,1,1,0,0,0,0,0,0,0
Sayed Hamed,EGY,2012,1,1,1,0,0,0,0,0,0,1
Ahmed Abdelrahman,EGY,2016,1,1,1,0,0,0,0,0,0,1
Ihab Abdelrahman,EGY,2012,1,2,2,0,0,0,0,0,0,1
Raouf Abdelraouf,EGY,2000,1,5,1,0,0,0,0,0,0,1
Abouelfetoh Abdelrazek,EGY,2008,1,1,1,0,0,0,0,0,0,1
Mamdouh Abdelrehim,EGY,2016,1,1,1,0,0,0,0,0,0,1
Mouni Abderrahim,ALG,2008,1,1,2,0,0,0,0,0,0,0
Mouni Abderrahim,ALG,2012,1,1,2,0,0,0,0,0,0,0
Saeid Abdevali,IRI,2012,1,2,2,0,0,0,0,0,1,1
Saeid Abdevali,IRI,2016,1,2,2,0,0,1,0,0,1,1
Bashir Abdi,BEL,2016,1,3,2,0,0,0,0,0,1,1
Youcef Abdi,AUS,2008,1,1,2,0,0,0,0,0,0,1
Youcef Abdi,AUS,2012,1,1,2,0,0,0,0,0,0,1
Abdihakim Abdirahman,USA,2000,1,2,4,0,0,0,0,0,0,1
Abdihakim Abdirahman,USA,2004,1,2,4,0,0,0,0,0,0,1
Abdihakim Abdirahman,USA,2008,1,2,4,0,0,0,0,0,0,1
Abdihakim Abdirahman,USA,2012,1,2,4,0,0,0,0,0,0,1
Ali Abdo,AUS,2000,1,2,3,0,0,0,0,0,0,1
Ali Abdo,AUS,2004,1,2,3,0,0,0,0,0,0,1
Ali Abdo,AUS,2008,1,2,3,0,0,0,0,0,0,1
Hamza Abdo,PLE,2008,1,1,1,0,0,0,0,0,0,1
Yhyacinthe Abdon,CMR,2012,1,1,1,0,0,0,0,0,0,1
Justin Abdou,CAN,2000,1,1,1,0,0,0,0,0,0,1
Raouf Abdou,EGY,2004,1,1,1,0,0,0,0,0,0,1
Fawziya Abdoulkarim,CMR,2016,1,1,1,0,0,0,0,0,0,0
Berik Abdrakhmanov,KAZ,2016,1,1,1,0,0,0,0,0,0,1
Maizurah Rahim,BRU,2016,1,1,1,0,0,0,0,0,0,0
Bashir Aziz,KUW,2000,1,1,1,0,0,0,0,0,0,1
Chairil Aziz,MAS,2000,1,1,1,0,0,0,0,0,0,1
Shaimaa Aziz,EGY,2000,1,2,2,0,0,0,0,0,0,0
Shaimaa Aziz,EGY,2008,1,2,2,0,0,0,0,0,0,0
Jefri Hakeem,BRU,2000,1,1,1,0,0,0,0,0,0,1
Mohamed Hamid,SUD,2000,1,1,1,0,0,0,0,0,0,1
Fatima Al-kirashi,BRN,2000,1,1,1,0,0,0,0,0,0,0
Dana (hussain-),IRQ,2008,1,1,2,0,0,0,0,0,0,0
Dana (hussain-),IRQ,2012,1,1,2,0,0,0,0,0,0,0
Patmawati Wahid,INA,2004,1,1,1,0,0,0,0,0,0,0
Haidar Hassan,IRQ,2004,1,1,1,0,0,0,0,0,0,1
Rukayatu Abdulai,CAN,2008,1,1,1,0,0,0,0,0,0,0
Mona Hassanein,EGY,2012,1,1,1,0,0,0,0,0,0,0
Ahmed Ahmed,IRQ,2012,1,1,1,0,0,0,0,0,0,1
Ahmad Abdullah,QAT,2008,1,1,1,0,0,0,0,0,0,1
Aquil (shumate-),USA,2004,1,1,1,0,0,0,0,0,0,1
Wan Abdullah,MAS,2000,1,1,1,0,0,0,0,0,0,1
Abdulqdir Abdullayev,AZE,2016,1,1,1,0,0,0,0,0,0,1
Arif Abdullayev,AZE,2000,1,1,1,0,0,0,0,0,0,1
Mukhammad Abdullayev,UZB,2000,1,1,1,1,0,0,1,0,0,1
Muminzhon Abdullayev,UZB,2012,1,1,2,0,0,0,0,0,0,1
Muminzhon Abdullayev,UZB,2016,1,1,2,0,0,0,0,0,0,1
Namiq Abdullayev,AZE,2000,1,2,2,1,0,0,1,0,0,1
Namiq Abdullayev,AZE,2004,1,2,2,0,0,0,1,0,0,1
Laye Abdullayeva,AZE,2012,1,1,1,0,0,0,0,0,0,0
lqar Abdulov,AZE,2008,1,1,1,0,0,0,0,0,0,1
Abir Khalil,EGY,2008,1,2,2,0,0,0,0,0,0,0
Abir Khalil,EGY,2012,1,2,2,0,0,0,0,0,0,0
Amer Al-hammadi,UAE,2012,1,1,1,0,0,0,0,0,0,1
Omar Al-amoudi,UAE,2012,1,1,1,0,0,0,0,0,0,1
Shaza El-sayed,EGY,2008,1,2,2,0,0,0,0,0,0,0
Shaza El-sayed,EGY,2012,1,2,2,0,0,0,0,0,0,0
Waheed Karaawi,IRQ,2016,1,1,1,0,0,0,0,0,0,1
Mohamed El-baki,EGY,2008,1,2,2,0,0,0,0,0,0,1
Mohamed El-baki,EGY,2012,1,2,2,0,0,0,0,0,0,1
Julius Abdur-rahim,USA,2000,1,1,1,1,0,0,1,0,0,1
Sherzod Abdurahmonov,UZB,2004,1,1,1,0,0,0,0,0,0,1
Rasul Abduraim,KGZ,2008,1,2,2,0,0,0,0,0,0,1
Rasul Abduraim,KGZ,2012,1,2,2,0,0,0,0,0,0,1
Bekzod Abdurakhmonov,UZB,2016,1,2,2,0,0,0,0,0,1,1
Mukhamadmurod Abdurakhmonov,TJK,2016,1,1,1,0,0,0,0,0,0,1
Adlan Abdurashidov,RUS,2016,1,1,1,0,0,0,0,0,0,1
Yusup Abdusalomov,TJK,2004,1,2,3,0,0,0,0,1,0,1
Yusup Abdusalomov,TJK,2008,1,2,3,0,1,0,0,1,0,1
Yusup Abdusalomov,TJK,2012,1,2,3,0,0,0,0,1,0,1
Andrey Abduvaliyev,UZB,2000,1,1,1,0,0,0,0,0,0,1
Aybek Abdymomunov,KGZ,2004,1,1,1,0,0,0,0,0,0,1
Shinnosuke Abe,JPN,2000,1,1,2,0,0,0,0,0,0,1
Shinnosuke Abe,JPN,2008,1,1,2,0,0,0,0,0,0,1
Yoshiyuki Abe,JPN,2000,1,1,1,0,0,0,0,0,0,1
Yuki Abe,JPN,2004,1,1,1,0,0,0,0,0,0,1
Soha Elaal,EGY,2008,1,1,1,0,0,0,0,0,0,0
Mojtaba Shormasti,IRI,2012,1,1,2,0,0,0,0,0,0,1
Mojtaba Shormasti,IRI,2016,1,1,2,0,0,0,0,0,0,1
Sonia Esteban,ESP,2004,1,1,1,0,0,0,0,0,0,0
Brooke Abel,USA,2008,1,1,1,0,0,0,0,0,0,0
Jennifer Abel,CAN,2008,1,4,4,0,0,0,0,1,1,0
Jennifer Abel,CAN,2012,1,4,4,0,0,0,0,1,1,0
Jennifer Abel,CAN,2016,1,4,4,0,0,0,0,1,1,0
Katja Abel,GER,2008,1,5,1,0,0,0,0,0,0,0
Mara Diguez,ESP,2000,1,2,2,0,0,0,0,0,0,0
Mara Diguez,ESP,2004,1,2,2,0,0,0,0,0,0,0
Yaritza Rojas,CUB,2012,1,1,1,0,0,0,0,0,0,0
Arthur Abele,GER,2008,1,1,2,0,0,0,0,0,0,1
Arthur Abele,GER,2016,1,1,2,0,0,0,0,0,0,1
Jos Fanjul,MEX,2016,1,1,1,0,0,0,0,0,0,1
Gezahgne Abera,ETH,2000,1,1,1,1,0,0,1,0,0,1
Tesfaye Dibaba,ETH,2016,1,1,1,0,0,0,0,0,0,1
Mohamed Aberhoune,MAR,2012,1,1,1,0,0,0,0,0,0,1
Michael Abernathy,USA,2000,1,1,1,1,0,0,1,0,0,1
Elvan Abeylegesse,TUR,2004,1,3,2,0,0,0,0,1,0,0
Elvan Abeylegesse,TUR,2008,1,3,2,0,1,0,0,1,0,0
Ruwani Abeymanne,SRI,2000,1,2,1,0,0,0,0,0,0,0
Matthew Abeysinghe,SRI,2016,1,2,2,0,0,0,0,0,0,1
Narek Abgaryan,ARM,2016,1,1,1,0,0,0,0,0,0,1
Koutoua Abia,CIV,2008,1,2,1,0,0,0,0,0,0,1
Pablo Vicen,ESP,2008,1,1,3,0,0,0,0,0,0,1
Pablo Vicen,ESP,2012,1,1,3,0,0,0,0,0,0,1
Pablo Vicen,ESP,2016,1,1,3,0,0,0,0,0,0,1
Sagat Abikeyeva,KAZ,2008,1,1,1,0,0,0,0,0,0,0
Mitsuhiro Abiko,JPN,2008,1,1,1,0,0,0,0,0,0,1
Tomomi Abiko,JPN,2012,1,1,1,0,0,0,0,0,0,0
Catherine Awino,KEN,2016,1,1,1,0,0,0,0,0,0,0
Camille Abily,FRA,2012,1,1,2,0,0,0,0,0,0,0
Camille Abily,FRA,2016,1,1,2,0,0,0,0,0,0,0
Endurance Abinuwa,NGR,2012,1,1,1,0,0,0,0,0,0,0
Bode Abiodun,NGR,2016,1,1,1,0,0,0,0,0,0,1
Inga Abitova,RUS,2008,1,1,1,0,0,0,0,0,0,0
Ceyhun Abiyev,AZE,2004,1,1,1,0,0,0,0,0,0,1
Diana Abla,BRA,2016,1,1,1,0,0,0,0,0,0,0
Denis Ablyazin,RUS,2012,1,6,2,0,0,0,0,3,2,1
Denis Ablyazin,RUS,2016,1,6,2,0,1,0,0,3,2,1
Thorine Mbeza,CMR,2016,1,1,1,0,0,0,0,0,0,0
Bukola Abogunloko,NGR,2012,1,1,1,0,0,0,0,0,0,0
Matthew Abood,AUS,2016,1,2,1,0,0,0,0,0,1,1
Abdelhalim Abou,EGY,2016,1,1,1,0,0,0,0,0,0,1
Ashraf El-hassan,EGY,2000,1,1,3,0,0,0,0,0,0,1
Ashraf El-hassan,EGY,2008,1,1,3,0,0,0,0,0,0,1
Ashraf El-hassan,EGY,2016,1,1,3,0,0,0,0,0,0,1
Magdy El-magd,EGY,2000,1,1,1,0,0,0,0,0,0,1
Mohamed Elea,EGY,2000,1,1,1,0,0,0,0,0,0,1
Zaid Hamed,SYR,2000,1,1,1,0,0,0,0,0,0,1
Zakaria Aboub,MAR,2000,1,1,1,0,0,0,0,0,0,1
Ibrahim Aboubaker,QAT,2004,1,1,2,0,0,0,0,0,0,1
Ibrahim Aboubaker,QAT,2008,1,1,2,0,0,0,0,0,0,1
Rabah Aboud,ALG,2012,1,1,1,0,0,0,0,0,0,1
Mamdouh Abouebaid,EGY,2016,1,1,1,0,0,0,0,0,0,1
Alaaeldin Abouelkassem,EGY,2012,1,4,3,0,1,0,0,1,0,1
Alaaeldin Abouelkassem,EGY,2016,1,4,3,0,0,0,0,1,0,1
El-Sayed Aboumedan,EGY,2004,1,1,1,0,0,0,0,0,0,1
Sdonoud Abouta,MLI,2004,1,1,1,0,0,0,0,0,0,1
Mohamed Aboutrika,EGY,2012,1,1,1,0,0,0,0,0,0,1
Melita Schssler,CHI,2016,1,1,1,0,0,0,0,0,0,0
Tadesse Abraham,SUI,2016,1,2,2,0,0,0,0,0,0,1
Ara Abrahamian,SWE,2000,1,2,3,0,0,0,0,1,0,1
Ara Abrahamian,SWE,2004,1,2,3,0,1,0,0,1,0,1
Ara Abrahamian,SWE,2008,1,2,3,0,0,0,0,1,0,1
Clyde Abrahams,RSA,2008,1,1,1,0,0,0,0,0,0,1
Yelena (kopets-),BLR,2016,1,1,1,0,0,0,0,0,0,0
Andrey Abramov,RUS,2008,1,2,1,0,0,0,0,0,0,1
Pavel Abramov,RUS,2004,1,1,1,0,0,1,0,0,1,1
Aliyah Abrams,GUY,2016,1,2,2,0,0,0,0,0,0,0
Benik Abramyan,GEO,2016,1,2,2,0,0,0,0,0,0,1
Arnaldo Abrantes,POR,2008,1,1,2,0,0,0,0,0,0,1
Arnaldo Abrantes,POR,2012,1,1,2,0,0,0,0,0,0,1
Amir Abrashi,SUI,2012,1,1,1,0,0,0,0,0,0,1
Diogo Abreu,POR,2016,1,2,2,0,0,0,0,0,0,1
Glauclio Abreu,BRA,2004,1,1,1,0,0,0,0,0,0,1
Morais Abreu,ANG,2008,1,1,1,0,0,0,0,0,0,1
rika Surez,COL,2012,1,1,2,0,0,0,0,0,0,0
rika Surez,COL,2016,1,1,2,0,0,0,0,0,0,0
Laura Restrepo,COL,2012,1,1,1,0,0,0,0,0,0,0
Alejandro Redondo,ESP,2016,1,1,1,0,0,1,0,0,1,1
Bourhan Abro,DJI,2016,1,1,1,0,0,0,0,0,0,1
Anastasiya Abrosimova,RUS,2016,1,1,1,0,0,0,0,0,0,0
Svetlana Abrosimova,RUS,2000,1,1,2,0,0,0,0,0,1,0
Svetlana Abrosimova,RUS,2008,1,1,2,0,0,1,0,0,1,0
Julien Absalon,FRA,2004,1,1,4,1,0,0,2,0,0,1
Julien Absalon,FRA,2008,1,1,4,1,0,0,2,0,0,1
Julien Absalon,FRA,2012,1,1,4,0,0,0,2,0,0,1
Julien Absalon,FRA,2016,1,1,4,0,0,0,2,0,0,1
Ayele Biza,ETH,2012,1,1,1,0,0,0,0,0,0,1
Najmeh Abtin,IRI,2008,1,1,1,0,0,0,0,0,0,0
Mohamed Abdullah,BAN,2008,1,1,1,0,0,0,0,0,0,1
Abdul Labid,IRQ,2004,1,1,1,0,0,0,0,0,0,1
Methkal Drais,JOR,2012,1,1,2,0,0,0,0,0,0,1
Methkal Drais,JOR,2016,1,1,2,0,0,0,0,0,0,1
Maher Rmilah,PLE,2012,1,1,1,0,0,0,0,0,0,1
Omar Abu-fares,JOR,2000,1,2,2,0,0,0,0,0,0,1
Omar Abu-fares,JOR,2004,1,2,2,0,0,0,0,0,0,1
Nagmeldin Abubakr,SUD,2004,1,1,2,0,0,0,0,0,0,1
Nagmeldin Abubakr,SUD,2008,1,1,2,0,0,0,0,0,0,1
Sanna Abubkheet,PLE,2004,1,1,1,0,0,0,0,0,0,0
Abudoureheman,CHN,2000,1,1,1,0,0,0,0,0,0,1
Folashade Abugan,NGR,2008,1,2,1,0,0,0,0,0,0,0
Hamza Abughalia,LBA,2004,1,1,1,0,0,0,0,0,0,1
Ahmad Abughaush,JOR,2016,1,1,1,1,0,0,1,0,0,1
Fartun Omar,SOM,2004,1,1,1,0,0,0,0,0,0,0
Mohammed Abukhousa,PLE,2016,1,1,1,0,0,0,0,0,0,1
Mohammad Abulibdeh,JOR,2012,1,1,1,0,0,0,0,0,0,1
Kariman Abuljadayel,KSA,2016,1,1,1,0,0,0,0,0,0,0
Shigeru Aburaya,JPN,2004,1,1,1,0,0,0,0,0,0,1
Cristobal Tinoco,MEX,2004,1,1,1,0,0,0,0,0,0,1
Kanat Abutalipov,KAZ,2008,1,1,2,0,0,0,0,0,0,1
Kanat Abutalipov,KAZ,2012,1,1,2,0,0,0,0,0,0,1
Anas Abuyousuf,QAT,2004,1,1,1,0,0,0,0,0,0,1
Irina Abysova,RUS,2008,1,1,2,0,0,0,0,0,0,0
Irina Abysova,RUS,2012,1,1,2,0,0,0,0,0,0,0
Andreea Acatrinei,ROU,2008,1,4,1,0,0,0,0,0,1,0
William Accambray,FRA,2012,1,1,1,1,0,0,1,0,0,1
Eusebio Colarte,CUB,2000,1,1,1,0,0,0,0,0,0,1
Raidel Morales,CUB,2012,1,1,1,0,0,0,0,0,0,1
Javier Acevedo,CAN,2016,1,3,2,0,0,0,0,0,0,1
Jos Herrera,VEN,2008,1,1,1,0,0,0,0,0,0,1
Nicole Tangarife,COL,2016,1,1,1,0,0,0,0,0,0,0
Sharon Tangarife,COL,2016,1,1,1,0,0,0,0,0,0,0
Jaouad Achab,BEL,2016,1,2,2,0,0,0,0,0,0,1
Karem Ramrez,MEX,2016,1,1,1,0,0,0,0,0,0,0
Loreto Snchez-marn,ESP,2012,1,1,1,0,0,0,0,0,0,0
Sharath Achanta,IND,2004,1,1,3,0,0,0,0,0,0,1
Sharath Achanta,IND,2008,1,1,3,0,0,0,0,0,0,1
Sharath Achanta,IND,2016,1,1,3,0,0,0,0,0,0,1
Kieron Achara,GBR,2012,1,1,1,0,0,0,0,0,0,1
Aziz Acharki,GER,2000,1,1,1,0,0,0,0,0,0,1
Gemma Acheampong,GHA,2016,1,1,1,0,0,0,0,0,0,0
Onochie Achike,GBR,2000,1,1,2,0,0,0,0,0,0,1
Onochie Achike,GBR,2008,1,1,2,0,0,0,0,0,0,1
Janet Achola,UGA,2012,1,1,1,0,0,0,0,0,0,0
Julius Achon,UGA,2000,1,1,1,0,0,0,0,0,0,1
Natalie Achonwa,CAN,2012,1,2,3,0,0,0,0,0,0,0
Natalie Achonwa,CAN,2016,1,2,3,0,0,0,0,0,0,0
Dallal Achour,ALG,2012,1,1,1,0,0,0,0,0,0,0
Haykel Al-achouri,TUN,2008,1,1,2,0,0,0,0,0,0,1
Haykel Al-achouri,TUN,2012,1,1,2,0,0,0,0,0,0,1
Chantal Achterberg,NED,2012,1,2,2,0,0,1,0,1,1,0
Chantal Achterberg,NED,2016,1,2,2,0,1,0,0,1,1,0
Nathaniel Ackerman,GBR,2004,1,1,1,0,0,0,0,0,0,1
Urban Acman,SLO,2000,1,1,1,0,0,0,0,0,0,1
Bryan Ramos,HON,2016,1,2,2,0,0,0,0,0,0,1
Julio Gonzlez,CHI,2016,1,1,1,0,0,0,0,0,0,1
Lautaro Acosta,ARG,2008,1,1,1,1,0,0,1,0,0,1
Luz Valdez,MEX,2008,1,1,2,0,0,0,0,0,0,0
Luz Valdez,MEX,2012,1,1,2,0,0,0,0,0,0,0
Marcelo Jimnez,ESA,2016,1,3,1,0,0,0,0,0,0,1
Mara Acosta,VEN,2016,1,1,1,0,0,0,0,0,0,0
Osmay Duarte,CUB,2008,1,1,1,0,0,1,0,0,1,1
Roslandy Alvarado,VEN,2008,1,1,1,0,0,0,0,0,0,0
Tanya Acosta,ARG,2016,1,1,1,0,0,0,0,0,0,0
Robert Acquafresca,ITA,2008,1,1,1,0,0,0,0,0,0,1
Amelia (-harvey),USA,2000,1,1,4,0,0,0,0,0,0,0
Amelia (-harvey),USA,2004,1,1,4,0,0,0,0,0,0,0
Amelia (-harvey),USA,2008,1,1,4,0,0,0,0,0,0,0
Amelia (-harvey),USA,2012,1,1,4,0,0,0,0,0,0,0
Crox Rodrguez,VEN,2008,1,2,2,0,0,0,0,0,0,1
Crox Rodrguez,VEN,2012,1,2,2,0,0,0,0,0,0,1
Roberto Acua,ARG,2016,1,1,1,0,0,0,0,0,0,1
Arslanbek Aylow,TKM,2016,1,1,1,0,0,0,0,0,0,1
Mariko Adachi,JPN,2012,1,1,1,0,0,0,0,0,0,0
Miho Adachi,JPN,2004,1,1,1,0,0,0,0,0,0,0
Seiya Adachi,JPN,2016,1,2,2,0,0,0,0,0,0,1
Yumi Adachi,JPN,2012,1,1,1,0,0,0,0,0,0,0
Ali Adakan,TUR,2000,1,1,2,0,0,0,0,0,0,1
