Rank,NOC,Gold,Silver,Bronze,Total,Year,Hosting
19,Turkey,1,0,1,2,1936,False
20,India,1,0,0,1,1936,False
20,New Zealand,1,0,0,1,1936,False
22,Poland,0,4,5,9,1936,False
23,Denmark,0,2,3,5,1936,False
24,Latvia,0,1,1,2,1936,False
25,Romania,0,1,0,1,1936,False
25,South Africa,0,1,0,1,1936,False
25,Yugoslavia,0,1,0,1,1936,False
28,Belgium,0,0,3,3,1936,False
28,Mexico,0,0,3,3,1936,False
30,Australia,0,0,1,1,1936,False
30,Philippines,0,0,1,1,1936,False
30,Portugal,0,0,1,1,1936,False
1,United States,38,27,19,84,1948,False
2,Sweden,16,11,17,44,1948,False
3,France,10,6,13,29,1948,False
4,Hungary,10,5,12,27,1948,False
5,Italy,8,11,8,27,1948,False
6,Finland,8,7,5,20,1948,False
7,Turkey,6,4,2,12,1948,False
8,Czechoslovakia,6,2,3,11,1948,False
9,Switzerland,5,10,5,20,1948,False
10,Denmark,5,7,8,20,1948,False
11,Netherlands,5,2,9,16,1948,False
12,Great Britain,3,14,6,23,1948,True
13,Argentina,3,3,1,7,1948,False
14,Australia,2,6,5,13,1948,False
15,Belgium,2,2,3,7,1948,False
16,Egypt,2,2,1,5,1948,False
17,Mexico,2,1,2,5,1948,False
18,South Africa,2,1,1,4,1948,False
19,Norway,1,3,3,7,1948,False
20,Jamaica,1,2,0,3,1948,False
21,Austria,1,0,3,4,1948,False
22,India,1,0,0,1,1948,False
22,Peru,1,0,0,1,1948,False
24,Yugoslavia,0,2,0,2,1948,False
25,Canada,0,1,2,3,1948,False
26,Portugal,0,1,1,2,1948,False
26,Uruguay,0,1,1,2,1948,False
28,Ceylon,0,1,0,1,1948,False
28,Cuba,0,1,0,1,1948,False
28,Spain,0,1,0,1,1948,False
28,Trinidad and Tobago,0,1,0,1,1948,False
32,Panama,0,0,2,2,1948,False
32,South Korea,0,0,2,2,1948,False
34,Brazil,0,0,1,1,1948,False
34,Iran,0,0,1,1,1948,False
34,Poland,0,0,1,1,1948,False
34,Puerto Rico,0,0,1,1,1948,False
1,United States,40,19,17,76,1952,False
2,Soviet Union,22,30,19,71,1952,False
3,Hungary,16,10,16,42,1952,False
4,Sweden,12,13,10,35,1952,False
5,Italy,8,9,4,21,1952,False
6,Czechoslovakia,7,3,3,13,1952,False
7,France,6,6,6,18,1952,False
8,Finland,6,3,13,22,1952,True
9,Australia,6,2,3,11,1952,False
10,Norway,3,2,0,5,1952,False
11,Switzerland,2,6,6,14,1952,False
12,South Africa,2,4,4,10,1952,False
13,Jamaica,2,3,0,5,1952,False
14,Belgium,2,2,0,4,1952,False
15,Denmark,2,1,3,6,1952,False
16,Turkey,2,0,1,3,1952,False
17,Japan,1,6,2,9,1952,False
18,Great Britain,1,2,8,11,1952,False
19,Argentina,1,2,2,5,1952,False
20,Poland,1,2,1,4,1952,False
21,Canada,1,2,0,3,1952,False
21,Yugoslavia,1,2,0,3,1952,False
23,Romania,1,1,2,4,1952,False
24,Brazil,1,0,2,3,1952,False
24,New Zealand,1,0,2,3,1952,False
26,India,1,0,1,2,1952,False
27,Luxembourg,1,0,0,1,1952,False
28,Germany,0,7,17,24,1952,False
29,Netherlands,0,5,0,5,1952,False
30,Iran,0,3,4,7,1952,False
31,Chile,0,2,0,2,1952,False
32,Austria,0,1,1,2,1952,False
32,Lebanon,0,1,1,2,1952,False
34,Ireland,0,1,0,1,1952,False
34,Mexico,0,1,0,1,1952,False
34,Spain,0,1,0,1,1952,False
37,South Korea,0,0,2,2,1952,False
37,Trinidad and Tobago,0,0,2,2,1952,False
37,Uruguay,0,0,2,2,1952,False
40,Bulgaria,0,0,1,1,1952,False
40,Egypt,0,0,1,1,1952,False
40,Portugal,0,0,1,1,1952,False
40,Venezuela,0,0,1,1,1952,False
1,Soviet Union,37,29,32,98,1956,False
2,United States,32,25,17,74,1956,False
3,Australia,13,8,14,35,1956,True
4,Hungary,9,10,7,26,1956,False
5,Italy,8,8,9,25,1956,False
6,Sweden,8,5,6,19,1956,False
7,United Team of Germany,6,13,7,26,1956,False
8,Great Britain,6,7,11,24,1956,False
9,Romania,5,3,5,13,1956,False
10,Japan,4,10,5,19,1956,False
11,France,4,4,6,14,1956,False
12,Turkey,3,2,2,7,1956,False
13,Finland,3,1,11,15,1956,False
14,Iran,2,2,1,5,1956,False
15,Canada,2,1,3,6,1956,False
16,New Zealand,2,0,0,2,1956,False
17,Poland,1,4,4,9,1956,False
18,Czechoslovakia,1,4,1,6,1956,False
19,Bulgaria,1,3,1,5,1956,False
20,Denmark,1,2,1,4,1956,False
21,Ireland,1,1,3,5,1956,False
22,Norway,1,0,2,3,1956,False
23,Mexico,1,0,1,2,1956,False
24,Brazil,1,0,0,1,1956,False
24,India,1,0,0,1,1956,False
26,Yugoslavia,0,3,0,3,1956,False
27,Chile,0,2,2,4,1956,False
28,Belgium,0,2,0,2,1956,False
29,Argentina,0,1,1,2,1956,False
29,South Korea,0,1,1,2,1956,False
31,Iceland,0,1,0,1,1956,False
31,Pakistan,0,1,0,1,1956,False
33,South Africa,0,0,4,4,1956,False
34,Austria,0,0,2,2,1956,False
35,Bahamas,0,0,1,1,1956,False
35,Greece,0,0,1,1,1956,False
35,Switzerland,0,0,1,1,1956,False
35,Uruguay,0,0,1,1,1956,False
1,Soviet Union ,43,29,31,103,1960,False
2,United States ,34,21,16,71,1960,False
3,Italy ,13,10,13,36,1960,False
4,United Team of Germany ,12,19,11,42,1960,False
5,Australia ,8,8,6,22,1960,False
6,Turkey ,7,2,0,9,1960,False
7,Hungary ,6,8,7,21,1960,False
8,Japan ,4,7,7,18,1960,False
9,Poland ,4,6,11,21,1960,False
10,Czechoslovakia ,3,2,3,8,1960,False
11,Romania ,3,1,6,10,1960,False
12,Great Britain ,2,6,12,20,1960,False
13,Denmark ,2,3,1,6,1960,False
14,New Zealand ,2,0,1,3,1960,False
15,Bulgaria ,1,3,3,7,1960,False
16,Sweden ,1,2,3,6,1960,False
17,Finland ,1,1,3,5,1960,False
18,Austria ,1,1,0,2,1960,False
18,Yugoslavia ,1,1,0,2,1960,False
20,Pakistan ,1,0,1,2,1960,False
21,Ethiopia ,1,0,0,1,1960,False
21,Greece ,1,0,0,1,1960,False
21,Norway ,1,0,0,1,1960,False
24,Switzerland ,0,3,3,6,1960,False
25,France ,0,2,3,5,1960,False
26,Belgium ,0,2,2,4,1960,False
27,Iran ,0,1,3,4,1960,False
28,Netherlands ,0,1,2,3,1960,False
28,South Africa ,0,1,2,3,1960,False
30,Argentina ,0,1,1,2,1960,False
30,Egypt ,0,1,1,2,1960,False
32,Canada ,0,1,0,1,1960,False
32,Formosa ,0,1,0,1,1960,False
32,Ghana ,0,1,0,1,1960,False
32,India ,0,1,0,1,1960,False
32,Morocco ,0,1,0,1,1960,False
32,Portugal ,0,1,0,1,1960,False
32,Singapore ,0,1,0,1,1960,False
39,Brazil ,0,0,2,2,1960,False
39,British West Indies ,0,0,2,2,1960,False
41,Iraq ,0,0,1,1,1960,False
41,Mexico ,0,0,1,1,1960,False
41,Spain ,0,0,1,1,1960,False
41,Venezuela ,0,0,1,1,1960,False
1,United States,36,26,28,90,1964,False
2,Soviet Union,30,31,35,96,1964,False
3,Japan,16,5,8,29,1964,True
4,United Team of Germany,10,22,18,50,1964,False
5,Italy,10,10,7,27,1964,False
6,Hungary,10,7,5,22,1964,False
7,Poland,7,6,10,23,1964,False
8,Australia,6,2,10,18,1964,False
9,Czechoslovakia,5,6,3,14,1964,False
10,Great Britain,4,12,2,18,1964,False
11,Bulgaria,3,5,2,10,1964,False
12,Finland,3,0,2,5,1964,False
12,New Zealand,3,0,2,5,1964,False
14,Romania,2,4,6,12,1964,False
15,Netherlands,2,4,4,10,1964,False
16,Turkey,2,3,1,6,1964,False
17,Sweden,2,2,4,8,1964,False
18,Denmark,2,1,3,6,1964,False
19,Yugoslavia,2,1,2,5,1964,False
20,Belgium,2,0,1,3,1964,False
21,France,1,8,6,15,1964,False
22,Canada,1,2,1,4,1964,False
22,Switzerland,1,2,1,4,1964,False
24,Bahamas,1,0,0,1,1964,False
24,Ethiopia,1,0,0,1,1964,False
24,India,1,0,0,1,1964,False
27,South Korea,0,2,1,3,1964,False
28,Trinidad and Tobago,0,1,2,3,1964,False
29,Tunisia,0,1,1,2,1964,False
30,Argentina,0,1,0,1,1964,False
30,Cuba,0,1,0,1,1964,False
30,Pakistan,0,1,0,1,1964,False
30,Philippines,0,1,0,1,1964,False
34,Iran,0,0,2,2,1964,False
35,Brazil,0,0,1,1,1964,False
35,Ghana,0,0,1,1,1964,False
35,Ireland,0,0,1,1,1964,False
35,Kenya,0,0,1,1,1964,False
35,Mexico,0,0,1,1,1964,False
35,Nigeria,0,0,1,1,1964,False
35,Uruguay,0,0,1,1,1964,False
1,United States,45,28,34,107,1968,False
2,Soviet Union,29,32,30,91,1968,False
3,Japan,11,7,7,25,1968,False
4,Hungary,10,10,12,32,1968,False
5,East Germany,9,9,7,25,1968,False
6,France,7,3,5,15,1968,False
7,Czechoslovakia,7,2,4,13,1968,False
8,West Germany,5,11,10,26,1968,False
9,Australia,5,7,5,17,1968,False
10,Great Britain,5,5,3,13,1968,False
11,Poland,5,2,11,18,1968,False
12,Romania,4,6,5,15,1968,False
13,Italy,3,4,9,16,1968,False
14,Kenya,3,4,2,9,1968,False
15,Mexico,3,3,3,9,1968,True
16,Yugoslavia,3,3,2,8,1968,False
17,Netherlands,3,3,1,7,1968,False
18,Bulgaria,2,4,3,9,1968,False
19,Iran,2,1,2,5,1968,False
20,Sweden,2,1,1,4,1968,False
21,Turkey,2,0,0,2,1968,False
22,Denmark,1,4,3,8,1968,False
23,Canada,1,3,1,5,1968,False
24,Finland,1,2,1,4,1968,False
25,Ethiopia,1,1,0,2,1968,False
25,Norway,1,1,0,2,1968,False
27,New Zealand,1,0,2,3,1968,False
28,Tunisia,1,0,1,2,1968,False
29,Pakistan,1,0,0,1,1968,False
29,Venezuela,1,0,0,1,1968,False
31,Cuba,0,4,0,4,1968,False
32,Austria,0,2,2,4,1968,False
33,Switzerland,0,1,4,5,1968,False
34,Mongolia,0,1,3,4,1968,False
35,Brazil,0,1,2,3,1968,False
36,Belgium,0,1,1,2,1968,False
36,South Korea,0,1,1,2,1968,False
36,Uganda,0,1,1,2,1968,False
39,Cameroon,0,1,0,1,1968,False
39,Jamaica,0,1,0,1,1968,False
41,Argentina,0,0,2,2,1968,False
42,Greece,0,0,1,1,1968,False
42,India,0,0,1,1,1968,False
42,Taiwan,0,0,1,1,1968,False
1,Soviet Union,50,27,22,99,1972,False
2,United States,33,31,30,94,1972,False
3,East Germany,20,23,23,66,1972,False
4,West Germany,13,11,16,40,1972,True
5,Japan,13,8,8,29,1972,False
6,Australia,8,7,2,17,1972,False
7,Poland,7,5,9,21,1972,False
8,Hungary,6,13,16,35,1972,False
9,Bulgaria,6,10,5,21,1972,False
10,Italy,5,3,10,18,1972,False
11,Sweden,4,6,6,16,1972,False
12,Great Britain,4,5,9,18,1972,False
13,Romania,3,6,7,16,1972,False
14,Cuba,3,1,4,8,1972,False
14,Finland,3,1,4,8,1972,False
16,Netherlands,3,1,1,5,1972,False
17,France,2,4,7,13,1972,False
18,Czechoslovakia,2,4,2,8,1972,False
19,Kenya,2,3,4,9,1972,False
20,Yugoslavia,2,1,2,5,1972,False
21,Norway,2,1,1,4,1972,False
22,North Korea,1,1,3,5,1972,False
23,New Zealand,1,1,1,3,1972,False
24,Uganda,1,1,0,2,1972,False
25,Denmark,1,0,0,1,1972,False
26,Switzerland,0,3,0,3,1972,False
27,Canada,0,2,3,5,1972,False
28,Iran,0,2,1,3,1972,False
29,Belgium,0,2,0,2,1972,False
29,Greece,0,2,0,2,1972,False
31,Austria,0,1,2,3,1972,False
31,Colombia,0,1,2,3,1972,False
33,Argentina,0,1,0,1,1972,False
33,Lebanon,0,1,0,1,1972,False
33,Mexico,0,1,0,1,1972,False
33,Mongolia,0,1,0,1,1972,False
33,Pakistan,0,1,0,1,1972,False
33,South Korea,0,1,0,1,1972,False
33,Tunisia,0,1,0,1,1972,False
33,Turkey,0,1,0,1,1972,False
41,Brazil,0,0,2,2,1972,False
41,Ethiopia,0,0,2,2,1972,False
43,Ghana,0,0,1,1,1972,False
43,India,0,0,1,1,1972,False
43,Jamaica,0,0,1,1,1972,False
43,Niger,0,0,1,1,1972,False
43,Nigeria,0,0,1,1,1972,False
43,Spain,0,0,1,1,1972,False
1,Soviet Union,49,41,35,125,1976,False
2,East Germany,40,25,25,90,1976,False
3,United States,34,35,25,94,1976,False
4,West Germany,10,12,17,39,1976,False
5,Japan,9,6,10,25,1976,False
6,Poland,7,6,13,26,1976,False
7,Bulgaria,6,9,7,22,1976,False
8,Cuba,6,4,3,13,1976,False
9,Romania,4,9,14,27,1976,False
10,Hungary,4,5,13,22,1976,False
11,Finland,4,2,0,6,1976,False
12,Sweden,4,1,0,5,1976,False
13,Great Britain,3,5,5,13,1976,False
14,Italy,2,7,4,13,1976,False
15,France,2,3,4,9,1976,False
16,Yugoslavia,2,3,3,8,1976,False
17,Czechoslovakia,2,2,4,8,1976,False
18,New Zealand,2,1,1,4,1976,False
19,South Korea,1,1,4,6,1976,False
20,Switzerland,1,1,2,4,1976,False
21,Jamaica,1,1,0,2,1976,False
21,North Korea,1,1,0,2,1976,False
21,Norway,1,1,0,2,1976,False
24,Denmark,1,0,2,3,1976,False
25,Mexico,1,0,1,2,1976,False
26,Trinidad and Tobago,1,0,0,1,1976,False
27,Canada,0,5,6,11,1976,True
28,Belgium,0,3,3,6,1976,False
29,Netherlands,0,2,3,5,1976,False
30,Portugal,0,2,0,2,1976,False
30,Spain,0,2,0,2,1976,False
32,Australia,0,1,4,5,1976,False
33,Iran,0,1,1,2,1976,False
34,Mongolia,0,1,0,1,1976,False
34,Venezuela,0,1,0,1,1976,False
36,Brazil,0,0,2,2,1976,False
37,Austria,0,0,1,1,1976,False
37,Bermuda,0,0,1,1,1976,False
37,Pakistan,0,0,1,1,1976,False
37,Puerto Rico,0,0,1,1,1976,False
37,Thailand,0,0,1,1,1976,False
1,Soviet Union,80,69,46,195,1980,True
2,East Germany,47,37,42,126,1980,False
3,Bulgaria,8,16,17,41,1980,False
4,Cuba,8,7,5,20,1980,False
5,Italy,8,3,4,15,1980,False
6,Hungary,7,10,15,32,1980,False
7,Romania,6,6,13,25,1980,False
8,France,6,5,3,14,1980,False
9,Great Britain,5,7,9,21,1980,False
10,Poland,3,14,15,32,1980,False
11,Sweden,3,3,6,12,1980,False
12,Finland,3,1,4,8,1980,False
13,Czechoslovakia,2,3,9,14,1980,False
14,Yugoslavia,2,3,4,9,1980,False
15,Australia,2,2,5,9,1980,False
16,Denmark,2,1,2,5,1980,False
17,Brazil,2,0,2,4,1980,False
17,Ethiopia,2,0,2,4,1980,False
19,Switzerland,2,0,0,2,1980,False
20,Spain,1,3,2,6,1980,False
21,Austria,1,2,1,4,1980,False
22,Greece,1,0,2,3,1980,False
23,Belgium,1,0,0,1,1980,False
23,India,1,0,0,1,1980,False
23,Zimbabwe,1,0,0,1,1980,False
26,North Korea,0,3,2,5,1980,False
27,Mongolia,0,2,2,4,1980,False
28,Tanzania,0,2,0,2,1980,False
29,Mexico,0,1,3,4,1980,False
30,Netherlands,0,1,2,3,1980,False
31,Ireland,0,1,1,2,1980,False
32,Uganda,0,1,0,1,1980,False
32,Venezuela,0,1,0,1,1980,False
34,Jamaica,0,0,3,3,1980,False
35,Guyana,0,0,1,1,1980,False
35,Lebanon,0,0,1,1,1980,False
1,United States,83,61,30,174,1984,True
2,Romania,20,16,17,53,1984,False
3,West Germany,17,19,23,59,1984,False
4,China,15,8,9,32,1984,False
5,Italy,14,6,12,32,1984,False
6,Canada,10,18,16,44,1984,False
7,Japan,10,8,14,32,1984,False
8,New Zealand,8,1,2,11,1984,False
9,Yugoslavia,7,4,7,18,1984,False
10,South Korea,6,6,7,19,1984,False
11,Great Britain,5,11,21,37,1984,False
12,France,5,7,16,28,1984,False
13,Netherlands,5,2,6,13,1984,False
14,Australia,4,8,12,24,1984,False
15,Finland,4,2,6,12,1984,False
16,Sweden,2,11,6,19,1984,False
17,Mexico,2,3,1,6,1984,False
18,Morocco,2,0,0,2,1984,False
19,Brazil,1,5,2,8,1984,False
20,Spain,1,2,2,5,1984,False
21,Belgium,1,1,2,4,1984,False
22,Austria,1,1,1,3,1984,False
23,Kenya,1,0,2,3,1984,False
23,Portugal,1,0,2,3,1984,False
25,Pakistan,1,0,0,1,1984,False
26,Switzerland,0,4,4,8,1984,False
27,Denmark,0,3,3,6,1984,False
28,Jamaica,0,1,2,3,1984,False
28,Norway,0,1,2,3,1984,False
30,Greece,0,1,1,2,1984,False
30,Nigeria,0,1,1,2,1984,False
30,Puerto Rico,0,1,1,2,1984,False
33,Colombia,0,1,0,1,1984,False
33,Egypt,0,1,0,1,1984,False
33,Ireland,0,1,0,1,1984,False
33,Ivory Coast,0,1,0,1,1984,False
33,Peru,0,1,0,1,1984,False
33,Syria,0,1,0,1,1984,False
33,Thailand,0,1,0,1,1984,False
40,Turkey,0,0,3,3,1984,False
40,Venezuela,0,0,3,3,1984,False
42,Algeria,0,0,2,2,1984,False
43,Cameroon,0,0,1,1,1984,False
43,Chinese Taipei,0,0,1,1,1984,False
43,Dominican Republic,0,0,1,1,1984,False
43,Iceland,0,0,1,1,1984,False
43,Zambia,0,0,1,1,1984,False
1,Soviet Union,55,31,46,132,1988,False
2,East Germany,37,35,30,102,1988,False
3,United States,36,31,27,94,1988,False
4,South Korea,12,10,11,33,1988,True
5,West Germany,11,14,15,40,1988,False
6,Hungary,11,6,6,23,1988,False
7,Bulgaria,10,12,13,35,1988,False
8,Romania,7,11,6,24,1988,False
9,France,6,4,6,16,1988,False
10,Italy,6,4,4,14,1988,False
11,China,5,11,12,28,1988,False
12,Great Britain,5,10,9,24,1988,False
13,Kenya,5,2,2,9,1988,False
14,Japan,4,3,7,14,1988,False
15,Australia,3,6,5,14,1988,False
16,Yugoslavia,3,4,5,12,1988,False
17,Czechoslovakia,3,3,2,8,1988,False
18,New Zealand,3,2,8,13,1988,False
19,Canada,3,2,5,10,1988,False
20,Poland,2,5,9,16,1988,False
21,Norway,2,3,0,5,1988,False
22,Netherlands,2,2,5,9,1988,False
23,Denmark,2,1,1,4,1988,False
24,Brazil,1,2,3,6,1988,False
25,Finland,1,1,2,4,1988,False
25,Spain,1,1,2,4,1988,False
27,Turkey,1,1,0,2,1988,False
28,Morocco,1,0,2,3,1988,False
29,Austria,1,0,0,1,1988,False
29,Portugal,1,0,0,1,1988,False
29,Suriname,1,0,0,1,1988,False
32,Sweden,0,4,7,11,1988,False
33,Switzerland,0,2,2,4,1988,False
34,Jamaica,0,2,0,2,1988,False
35,Argentina,0,1,1,2,1988,False
36,Chile,0,1,0,1,1988,False
36,Costa Rica,0,1,0,1,1988,False
36,Indonesia,0,1,0,1,1988,False
36,Iran,0,1,0,1,1988,False
36,Netherlands Antilles,0,1,0,1,1988,False
36,Peru,0,1,0,1,1988,False
36,Senegal,0,1,0,1,1988,False
36,Virgin Islands,0,1,0,1,1988,False
44,Belgium,0,0,2,2,1988,False
44,Mexico,0,0,2,2,1988,False
46,Colombia,0,0,1,1,1988,False
46,Djibouti,0,0,1,1,1988,False
46,Greece,0,0,1,1,1988,False
46,Mongolia,0,0,1,1,1988,False
